Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0145588469474233,-0.00806139025040155,0.0153668637832205,0,0,0,1.47169868322375,0.0122651487007531,-2.30751466734408E-09,1.458722930281E-10,0.00958348355299044,-9.5504586627101E-06,0.0214293688345269,0,0,0,0,0,0,package://v9test10/meshes/base_link.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://v9test10/meshes/base_link.STL,,底板V2.0-2;42 step motor-39mm-1;电机驱动pcb（模拟）-1;（订制）导向轴支座（内孔5）-2;v5.0 底座-1;SHD-11-xxx-II.STEP-1,坐标系0,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,0.0094908893214061,-0.0102059828936922,0.00690769545982223,0,0,0,0.106226032288269,7.57648563242751E-05,1.76393508084018E-05,-2.05091106701881E-05,7.40639321483898E-05,1.97818949050727E-05,8.72893416580638E-05,0,0,0,0,0,0,package://v9test10/meshes/link1.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://v9test10/meshes/link1.STL,,v7.0 joint1-2 轮廓-1,坐标系1,基准轴1,joint1,revolute,0.0368945502941359,-0.0080137664563706,0.0959800351586077,0,0,0,base_link,0,0,-1,0,0,-3.1416,3.1416,,,,,,,,
link2,0.0902273522494584,0.0145597195820644,-0.00211899271866102,0,0,0,0.531595178049922,0.000368602051698147,-0.00045507854496013,1.36666860848429E-05,0.00181117452275595,3.75923780843414E-05,0.00203094919495169,0,0,0,0,0,0,package://v9test10/meshes/link2.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://v9test10/meshes/link2.STL,,v7.0 大臂-1;CSF-11-xxx-1U-E-1;v7.0 大臂盖-1;42 step motor-39mm-3;电机驱动pcb（模拟）-2;电机驱动pcb（模拟）-3;42 step motor-34mm-1;CSF-08-xxx-1U-E-2,坐标系2,基准轴2,joint2,revolute,0.03,0.00801376645637061,0.032,1.5707963267949,0,3.14159265358979,link1,0,0,1,0,0,0,3.1416,,,,,,,,
link3,0.0172214415668831,-3.63588048612196E-05,0.0267160779974474,0,0,0,0.0463618351461468,1.41424920354307E-05,2.68728572206113E-08,5.73989018792126E-06,2.19500379435154E-05,-2.48119073746492E-08,2.07845780616096E-05,0,0,0,0,0,0,package://v9test10/meshes/link3.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://v9test10/meshes/link3.STL,,v7.0 joint3-4-1,坐标系3,基准轴3,joint3,revolute,0.176568542494924,0.0565685424949235,0,3.14159265358979,0,3.14159265358979,link2,0,0,1,0,0,0,4.1888,,,,,,,,
link4,0.000292338190561958,0.00929789845756709,0.0454141153752586,0,0,0,0.198168160893727,0.000200537158481411,4.30521483047432E-07,1.27014035741098E-06,0.000190985195412561,-4.04741513979443E-05,7.99907425364091E-05,0,0,0,0,0,0,package://v9test10/meshes/link4.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://v9test10/meshes/link4.STL,,v7.1 小臂-1;42 step motor-34mm-2;电机驱动pcb（模拟）-4;SHD-08-xxx-减速器.STEP-1,坐标系4,基准轴4,joint4,revolute,0.0360000000000001,0,0.00801376645636903,1.5707963267949,0,1.57079632679489,link3,0,0,1,0,0,-3.1416,3.1416,,,,,,,,
link5,-0.0500122807452609,-9.53903656470412E-05,-0.00475940406869639,0,0,0,0.265010940431533,9.00675161793386E-05,2.59392656663115E-07,3.45286951345622E-05,0.000335315968969747,1.58883028700049E-07,0.000356016836866907,0,0,0,0,0,0,package://v9test10/meshes/link5.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://v9test10/meshes/link5.STL,,CSF-08-xxx-1U-E-1;v7.1 joint6-1;42 step motor-24mm-2;电机驱动pcb（模拟）-5;42 step motor-24mm-4;电机驱动pcb（模拟）-6;v7.1 小臂盖-1,坐标系5,基准轴5,joint5,revolute,0,-0.00801376645636905,0.1005,1.5707963267949,1.5707963267949,0,link4,0,0,1,0,0,-1.5708,1.5708,,,,,,,,
link6,0.0231488250050769,0.00274030473543679,-0.038382125778541,0,0,0,0.083066698001088,1.69474229832804E-05,6.65809525880248E-08,8.95750520210014E-08,1.45204371038499E-05,-1.46659355218843E-06,2.16658258500537E-05,0,0,0,0,0,0,package://v9test10/meshes/link6.STL,1,1,1,1,0,0,0,0,0,0,package://v9test10/meshes/link6.STL,,手腕2-1;2指4齿轮爪（小M2.0）-装配-1/机器人舵机+通用舵盘-1/QDS-40-1;2指4齿轮爪（小M2.0）-装配-1/舵机前抬高（小）-1;2指4齿轮爪（小M2.0）-装配-1/2指4齿爪（小）-大板-1;2指4齿轮爪（小M2.0）-装配-1/2指4齿爪（小）-大板上-1;2指4齿轮爪（小M2.0）-装配-1/舵盘齿轮13-m2（小）-1;2指4齿轮爪（小M2.0）-装配-1/一级齿轮13-m2（小）-1;2指4齿轮爪（小M2.0）-装配-1/2指爪-连接片（小）-2;2指4齿轮爪（小M2.0）-装配-1/2指爪-连接片（小）-1,坐标系6,基准轴6,joint6,revolute,-0.1205,0,-0.00801376645636905,1.5707963267949,0,1.5707963267949,link5,0,0,-1,0,0,-3.1416,3.1416,,,,,,,,
Left,0.0221275513532655,-0.0104978080688389,0.000252965594980031,0,0,0,0.00483059479337221,2.57936210926745E-07,-1.12081800064016E-07,3.12385929239768E-22,3.54998727314474E-07,1.2573145310806E-22,5.95838965476979E-07,0,0,0,0,0,0,package://v9test10/meshes/Left.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://v9test10/meshes/Left.STL,,2指4齿轮爪（小M2.0）-装配-1/2指爪-零件1（小）-2;2指4齿轮爪（小M2.0）-装配-1/2指爪-零件2（小）-2/2指爪-零件2侧（小）-1;2指4齿轮爪（小M2.0）-装配-1/2指爪-零件2（小）-2/2指爪-零件2中（小）-1;2指4齿轮爪（小M2.0）-装配-1/2指爪-零件2（小）-2/2指爪-零件2侧（小）-2;2指4齿轮爪（小M2.0）-装配-1/8mm螺丝-2;2指4齿轮爪（小M2.0）-装配-1/8mm螺丝-3,坐标系7,基准轴7,joint7,revolute,-0.0022981,0.029905,-0.0505,3.0599,1.5708,0,link6,0,0,-1,0,0,-1.05,1.05,,,,,,,,
Right,0.0221275513532657,0.0104978080688385,-8.4321864993353E-05,0,0,0,0.00483059479337221,2.57936210926753E-07,1.12081800064018E-07,-4.68580559424907E-23,3.54998727314466E-07,6.61744490042422E-24,5.95838965476978E-07,0,0,0,0,0,0,package://v9test10/meshes/Right.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://v9test10/meshes/Right.STL,,2指4齿轮爪（小M2.0）-装配-1/2指爪-零件1（小）-1;2指4齿轮爪（小M2.0）-装配-1/2指爪-零件2（小）-1/2指爪-零件2侧（小）-2;2指4齿轮爪（小M2.0）-装配-1/2指爪-零件2（小）-1/2指爪-零件2中（小）-1;2指4齿轮爪（小M2.0）-装配-1/2指爪-零件2（小）-1/2指爪-零件2侧（小）-1;2指4齿轮爪（小M2.0）-装配-1/8mm螺丝-1;2指4齿轮爪（小M2.0）-装配-1/8mm螺丝-4,坐标系8,基准轴8,joint8,revolute,0.0025971,-0.02988,-0.0505,3.0599,1.5708,0,link6,0,0,1,0,0,-1.05,1.05,,,,,,,,
left_in,0.0247144151353708,0.000244250748252781,0.0038,0,0,0,0.00385329907016037,4.76384257579596E-08,-1.47569774166693E-21,-4.42868794100056E-23,2.95061914786719E-07,-6.61744490042422E-24,3.2179999241693E-07,0,0,0,0,0,0,package://v9test10/meshes/left_in.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://v9test10/meshes/left_in.STL,,2指4齿轮爪（小M2.0）-装配-1/2指爪-零件3（小）-3/2指爪-零件3侧后（小）-2;2指4齿轮爪（小M2.0）-装配-1/2指爪-零件3（小）-3/2指爪-零件3薄片（小）-2;2指4齿轮爪（小M2.0）-装配-1/2指爪-零件3（小）-3/2指爪-零件3侧前（小）-2;2指4齿轮爪（小M2.0）-装配-1/2指爪-零件3（小）-3/2指爪-零件3中（小）-1;2指4齿轮爪（小M2.0）-装配-1/2指爪-零件3（小）-3/2指爪-零件3侧前（小）-1;2指4齿轮爪（小M2.0）-装配-1/2指爪-零件3（小）-3/2指爪-零件3薄片（小）-1;2指4齿轮爪（小M2.0）-装配-1/2指爪-零件3（小）-3/2指爪-零件3侧后（小）-1;2指4齿轮爪（小M2.0）-装配-1/2指爪-零件3（小）-3/指尖橡胶15-1;2指4齿轮爪（小M2.0）-装配-1/16mm螺丝-3;2指4齿轮爪（小M2.0）-装配-1/8mm螺丝-6,坐标系13,基准轴13,joint9,revolute,0.0030937,0.0087817,-0.060003,3.0599,1.5708,0,link6,0,0,1,0,0,-1.05,1.05,,,,,,,,
